1,1,1,78
2,1,2,85
3,1,3,88
4,1,4,81
5,2,1,75
6,2,2,82
7,2,3,79
8,2,5,84
9,2,6,80
10,3,1,90
11,3,2,87
12,3,4,91
13,4,1,73
14,4,2,77
15,4,3,80
16,4,7,84
17,5,1,88
18,5,2,90
19,5,5,85
20,5,8,87
21,6,1,91
22,6,2,87
23,6,3,93
24,6,4,89
25,6,9,92
26,7,1,68
27,7,3,72
28,7,6,74
29,8,1,83
30,8,2,80
31,8,4,85
32,8,7,86
33,9,1,77
34,9,2,81
35,9,3,72
36,9,5,89
37,9,10,84
38,10,1,85
39,10,2,88
40,10,8,90
41,11,1,79
42,11,2,82
43,11,3,76
44,11,6,78
45,12,1,88
46,12,2,91
47,12,4,84
48,12,9,87
49,13,1,73
50,13,3,78
51,13,7,81
52,14,1,86
53,14,2,88
54,14,5,89
55,14,10,92
56,15,1,75
57,15,2,80
58,15,3,82
59,15,4,83
60,15,8,79
61,16,1,90
62,16,2,87
63,16,6,85
64,16,9,88
65,17,1,78
66,17,3,82
67,17,7,80
68,18,1,88
69,18,2,90
70,18,3,91
71,18,10,89
72,19,1,84
73,19,2,79
74,19,4,76
75,19,6,82
76,20,1,93
77,20,2,85
78,20,3,85
79,20,8,88
80,20,10,90
81,21,1,81
82,21,2,83
83,21,7,86
84,22,1,77
85,22,2,82
86,22,5,79
87,22,9,81
88,23,1,92
89,23,2,90
90,23,4,88
91,23,10,91
92,24,1,85
93,24,3,80
94,24,6,84
95,25,1,89
96,25,2,87
97,25,8,92
98,25,10,87
99,26,1,76
100,26,2,78
101,26,5,81
102,26,9,79
103,27,1,83
104,27,2,85
105,27,3,88
106,27,7,86
107,28,1,90
108,28,2,90
109,28,8,87
110,28,10,91
111,29,1,82
112,29,3,85
113,29,6,80
114,30,1,88
115,30,2,86
116,30,4,92
117,30,8,90
118,30,9,89
119,30,10,91
120,6,5,88
121,12,3,85
122,18,6,87
123,20,7,86
124,25,6,84
125,14,7,83
126,9,7,82
127,3,8,81
128,5,9,80
129,11,10,79
130,22,7,78
